"","Loc","Type","z"
"ERR2851850Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C19","Epi_CS3",1
"ERR2851851Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C20","Hyp_CS3",1
"ERR2851852Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C21","Hyp_CS3",1
"ERR2851853Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C22","Epi_CS3",1
"ERR2851854Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C23","Epi_CS3",1
"ERR2851855Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C24","Hyp_CS3",1
"ERR2851856Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C25","Hyp_CS3",1
"ERR2851857Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C26","Hyp_CS3",1
"ERR2851858Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C27","Hyp_CS3",1
"ERR2851859Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C28","Epi_CS3",1
"ERR2851860Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C29","Hyp_CS3",1
"ERR2851861Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C30","Epi_CS3",1
"ERR2851862Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C31","Hyp_CS3",1
"ERR2851863Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C32","Epi_CS3",1
"ERR2851864Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C33","Hyp_CS3",1
"ERR2851865Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C34","Hyp_CS3",1
"ERR2851866Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C35","Hyp_CS3",1
"ERR2851867Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C36","Epi_CS3",1
